city,date,time,temp_f,feels_like_f,temp_min_f,temp_max_f,humidity_pct,wind_speed_mph,description
Salt Lake City,2025-04-25,10:00:00,62.3,60.1,58.0,66.0,38,8.5,clear sky
St. George,2025-04-25,10:00:00,78.4,76.2,74.0,82.0,22,11.2,sunny
Provo,2025-04-25,10:00:00,60.1,58.4,56.0,63.0,42,7.3,partly cloudy
Ogden,2025-04-25,10:00:00,58.7,56.9,55.0,61.0,45,9.1,overcast clouds
Cedar City,2025-04-25,10:00:00,65.2,63.5,62.0,68.0,31,13.4,clear sky
Moab,2025-04-25,10:00:00,74.6,72.8,70.0,78.0,18,10.6,clear sky
Logan,2025-04-25,10:00:00,55.9,53.7,52.0,58.0,50,6.8,light clouds
Park City,2025-04-25,10:00:00,49.3,46.2,46.0,52.0,55,14.7,broken clouds
Vernal,2025-04-25,10:00:00,61.8,59.5,58.0,65.0,36,8.9,clear sky
Richfield,2025-04-25,10:00:00,67.4,65.2,64.0,70.0,28,12.1,clear sky
